,County,Year,TotalPop,Employers,Employees,AvgAnnualPay,New Homes Constructed,Avg.Median Home price,EstHouseholds,Net_Migration,Immigration,Domestic_Migration,Interest_Rate
42,Contra Costa,2005,1001216,26956,339738,51515,8208,58845.0,361259.0,-456.0,3662.0,-4118.0,5.9
43,Contra Costa,2006,1007169,28002,345649,53149,5351,634230.0,367878.0,-533.0,3932.0,-4465.0,6.6
44,Contra Costa,2007,1015672,27933,344954,55336,3825,638750.0,371558.0,4402.0,4875.0,-473.0,6.49
45,Contra Costa,2008,1027264,29450,339547,56306,2576,333790.0,374167.0,5646.0,4888.0,758.0,6.14
46,Contra Costa,2009,1038390,29430,320798,56199,1008,260590.0,375207.0,4155.0,4170.0,-15.0,5.14
47,Contra Costa,2010,1049025,29151,313615,57552,1797,296380.0,375046.2771,3043.0,3159.0,-116.0,4.91
48,Contra Costa,2011,1059495,29871,315064,59146,1436,281240.0,378547.8167,7124.0,2876.0,4248.0,4.68
49,Contra Costa,2012,1069977,28785,323484,60142,1287,324750.0,380689.29600000003,6968.0,3292.0,3676.0,3.77
50,Contra Costa,2013,1083340,28785,332623,60855,1716,446300.0,382396.1525,9105.0,3673.0,5432.0,3.98
51,Contra Costa,2014,1097172,29524,339281,61920,1833,489630.0,384449.9823,8323.0,3836.0,4487.0,4.28
52,Contra Costa,2015,1111143,30419,346862,63792,2122,525000.0,387121.2654,9207.0,5346.0,3861.0,4.03
53,Contra Costa,2016,1123429,31198,359242,65187,2415,565000.0,390440.2098,7068.0,5669.0,1399.0,3.83
54,Marin,1991,231492,9714,96971,27763,800,348040.0,95805.0,1992.0,794.0,1198.0,9.34
56,Marin,1992,234380,10182,95239,29109,352,338000.0,96764.0,1313.0,849.0,464.0,8.11
57,Marin,1993,236340,10622,96137,29225,295,333420.0,97258.0,183.0,952.0,-769.0,7.13
58,Marin,1994,237352,10617,98233,30126,279,347230.0,97631.0,-125.0,714.0,-839.0,7.49
59,Marin,1995,238053,11483,100731,31552,278,344600.0,97930.0,-87.0,679.0,-766.0,7.85
60,Marin,1996,238149,11226,101916,33368,537,364840.0,97737.0,-1321.0,817.0,-2138.0,7.74
61,Marin,1997,239616,10706,103781,35228,575,380930.0,97914.0,2731.0,706.0,2025.0,7.68
62,Marin,1998,241975,11626,106639,37703,497,431810.0,98915.0,443.0,556.0,-113.0,7.1
63,Marin,1999,243767,11897,110557,39257,797,518770.0,99586.0,1545.0,475.0,1070.0,7.25
64,Marin,2000,246503,11155,112454,42867,624,643250.0,100511.0,2341.0,678.0,1663.0,7.96
65,Marin,2001,247590,11185,111939,43547,728,673510.0,100935.0,-721.0,967.0,-1688.0,7.03
66,Marin,2002,247567,11710,111854,45269,755,715010.0,101305.0,-1295.0,737.0,-2032.0,6.51
67,Marin,2003,247342,11698,109696,48051,721,738880.0,101690.0,-1078.0,589.0,-1667.0,5.73
68,Marin,2004,246990,11699,109601,50539,886,871700.0,102051.0,-1621.0,493.0,-2114.0,5.74
69,Marin,2005,246688,11432,108903,52678,490,976720.0,102574.0,-1025.0,543.0,-1568.0,5.9
70,Marin,2006,246969,11673,108984,54697,874,965080.0,102702.0,-372.0,499.0,-871.0,6.6
71,Marin,2007,248025,11429,108655,55725,394,1037540.0,103215.0,599.0,634.0,-35.0,6.49
72,Marin,2008,249546,11843,109340,56106,381,962190.0,103265.0,530.0,540.0,-10.0,6.14
73,Marin,2009,250760,11593,102632,55492,410,778290.0,103294.0,12.0,470.0,-458.0,5.14
74,Marin,2010,252409,11576,102062,56134,182,810880.0,103353.4251,802.0,476.0,326.0,4.91
75,Marin,2011,253964,11680,102656,57948,110,758040.0,103390.79,1613.0,409.0,1204.0,4.68
76,Marin,2012,255812,11523,106021,58943,106,784320.0,103655.2158,989.0,492.0,497.0,3.77
77,Marin,2013,257228,11601,108850,59427,117,938920.0,103842.1491,2385.0,523.0,1862.0,3.98
78,Marin,2014,260294,11903,110424,61953,150,1021400.0,103965.8014,1833.0,479.0,1354.0,4.28
79,Marin,2015,261798,12105,112056,64906,106,1100000.0,104222.3134,216.0,685.0,-469.0,4.03
80,Marin,2016,262274,12286,114063,67211,87,1189000.0,104280.2288,643.0,726.0,-83.0,3.83
82,Napa,1991,111747,3929,45447,22207,556,183680.0,41881.0,1006.0,291.0,715.0,9.34
83,Napa,1992,113457,4137,45402,23451,656,189720.0,42406.0,1626.0,400.0,1226.0,8.11
84,Napa,1993,115079,4192,45122,23863,354,183900.0,43035.0,888.0,419.0,469.0,7.13
85,Napa,1994,116039,4090,45332,24516,409,186150.0,43365.0,301.0,589.0,-288.0,7.49
86,Napa,1995,116817,4363,46875,25500,281,183550.0,43749.0,623.0,533.0,90.0,7.85
87,Napa,1996,117739,4283,49569,26091,285,180000.0,44014.0,747.0,761.0,-14.0,7.74
88,Napa,1997,119130,4143,52782,27179,233,200440.0,44279.0,1614.0,734.0,880.0,7.68
89,Napa,1998,120545,4438,55907,28606,345,205600.0,44494.0,803.0,616.0,187.0,7.1
90,Napa,1999,121913,4580,58881,30616,582,255780.0,44815.0,1478.0,636.0,842.0,7.25
91,Napa,2000,123782,4349,60552,33104,533,301490.0,45362.0,1970.0,559.0,1411.0,7.96
92,Napa,2001,125396,4474,63332,34684,731,333560.0,45687.0,1335.0,561.0,774.0,7.03
93,Napa,2002,127064,4597,64099,35579,728,383050.0,46140.0,1453.0,389.0,1064.0,6.51
94,Napa,2003,128683,4712,64205,36915,1175,464240.0,46592.0,1113.0,416.0,697.0,5.73
95,Napa,2004,129814,4738,64357,39026,709,545700.0,47479.0,417.0,495.0,-78.0,5.74
96,Napa,2005,130472,4766,65201,40180,770,655720.0,47912.0,203.0,380.0,-177.0,5.9
97,Napa,2006,131330,4939,66029,41788,641,677910.0,48395.0,630.0,474.0,156.0,6.6
98,Napa,2007,132537,4950,67961,44171,445,667690.0,48763.0,701.0,513.0,188.0,6.49
99,Napa,2008,133969,5115,68850,45061,270,452900.0,48939.0,1170.0,736.0,434.0,6.14
100,Napa,2009,135225,5139,65012,45174,205,362190.0,48944.0,321.0,622.0,-301.0,5.14
101,Napa,2010,136484,5136,64073,45250,159,362460.0,48904.0,531.0,341.0,190.0,4.91
102,Napa,2011,136913,5241,65086,45926,115,339740.0,48981.80468,594.0,391.0,203.0,4.68
103,Napa,2012,138074,5218,67461,46575,87,370910.0,49108.81594,1008.0,351.0,657.0,3.77
104,Napa,2013,138844,5311,70178,47089,79,482540.0,49183.75597,460.0,351.0,109.0,3.98
105,Napa,2014,140254,5465,72568,48189,104,571540.0,49257.5592,948.0,359.0,589.0,4.28
106,Napa,2015,140898,5618,75037,50650,113,600000.0,49332.84936,382.0,441.0,-59.0,4.03
107,Napa,2016,142028,5719,75503,52173,187,630000.0,49438.380919999996,153.0,468.0,-315.0,3.83
109,San Francisco,1991,724593,33755,571191,33464,2160,280720.0,308278.0,898.0,10790.0,-9892.0,9.34
110,San Francisco,1992,728487,35853,536833,35941,1269,272340.0,311055.0,3533.0,9236.0,-5703.0,8.11
111,San Francisco,1993,736629,37013,531539,36970,877,261600.0,313045.0,10000.0,10323.0,-323.0,7.13
112,San Francisco,1994,742795,36473,525870,38319,1266,259560.0,314643.0,84.0,9019.0,-8935.0,7.49
113,San Francisco,1995,741615,38878,528833,39708,1428,268635.0,316288.0,-4458.0,6816.0,-11274.0,7.85
114,San Francisco,1996,741971,38505,542721,41535,1089,276782.0,318025.0,3493.0,7470.0,-3977.0,7.74
115,San Francisco,1997,746762,37604,554574,44655,1774,305851.0,319170.0,3987.0,6997.0,-3010.0,7.68
116,San Francisco,1998,753810,41211,575340,47641,2263,356859.0,321998.0,7449.0,5713.0,1736.0,7.1
117,San Francisco,1999,762359,42465,591192,51580,2837,416244.0,325004.0,6887.0,4615.0,2272.0,7.25
118,San Francisco,2000,773312,41002,611676,57723,2540,536058.0,328592.0,12767.0,9168.0,3599.0,7.96
119,San Francisco,2001,780614,42032,586085,61068,2852,575353.0,330227.0,1248.0,11202.0,-9954.0,7.03
120,San Francisco,2002,782765,42685,547304,58510,3840,619274.0,331609.0,-775.0,10885.0,-11660.0,6.51
121,San Francisco,2003,782599,43162,532908,58836,2055,660036.0,334085.0,-3887.0,9887.0,-13774.0,5.73
122,San Francisco,2004,781308,42914,520434,62370,2224,758589.0,334709.0,-3555.0,8869.0,-12424.0,5.74
123,San Francisco,2005,780187,42560,524940,66590,2723,871042.0,335489.0,-3741.0,8638.0,-12379.0,5.9
124,San Francisco,2006,781295,44133,536304,70729,2976,883056.0,336403.0,832.0,9029.0,-8197.0,6.6
125,San Francisco,2007,787127,44369,556401,75125,3496,918544.0,338497.0,5325.0,9218.0,-3893.0,6.49
126,San Francisco,2008,795002,50270,573011,75513,4112,847913.0,340656.0,4124.0,9998.0,-5874.0,6.14
127,San Francisco,2009,800239,51517,549716,73599,3926,744804.0,343246.0,-409.0,7069.0,-7478.0,5.14
128,San Francisco,2010,805235,52846,545721,76361,865,748855.0,345554.0,2290.0,6691.0,-4401.0,4.91
129,San Francisco,2011,815854,55143,558990,80675,299,699397.0,346858.1467,7271.0,7151.0,120.0,4.68
130,San Francisco,2012,826103,54099,586538,83452,1279,774908.0,348897.5142,9675.0,7040.0,2635.0,3.77
131,San Francisco,2013,839564,55042,611717,85788,2377,930777.0,350486.8704,7600.0,7068.0,532.0,3.98
132,San Francisco,2014,848186,57020,640378,91877,3514,1084058.0,353197.4249,6870.0,6694.0,176.0,4.28
133,San Francisco,2015,857508,58423,674646,97067,2848,1250000.0,358183.57700000005,6874.0,6720.0,154.0,4.03
134,San Francisco,2016,866583,59263,703188,101656,5114,1340000.0,361731.4974,4388.0,7126.0,-2738.0,3.83
136,San Mateo,1991,651093,19672,283160,30433,608,328310.0,243407.0,-311.0,5269.0,-5580.0,9.34
137,San Mateo,1992,657980,20753,292966,33659,343,319400.0,244371.0,2311.0,5512.0,-3201.0,8.11
138,San Mateo,1993,664394,21452,289875,34749,365,305340.0,245072.0,-748.0,5856.0,-6604.0,7.13
139,San Mateo,1994,668711,21300,293164,35758,414,319600.0,245800.0,-1701.0,4897.0,-6598.0,7.49
140,San Mateo,1995,673274,23078,300725,37176,816,317890.0,246572.0,122.0,4127.0,-4005.0,7.85
141,San Mateo,1996,677926,22708,316412,39584,929,334070.0,247728.0,-1086.0,5786.0,-6872.0,7.74
142,San Mateo,1997,685153,21920,330092,43151,1065,373780.0,248994.0,5323.0,5252.0,71.0,7.68
143,San Mateo,1998,693089,23976,345983,45413,1144,424010.0,250394.0,326.0,4462.0,-4136.0,7.1
144,San Mateo,1999,698333,24406,358442,51585,1720,482330.0,251866.0,-107.0,3726.0,-3833.0,7.25
145,San Mateo,2000,705052,23023,380137,67084,1295,612380.0,253893.0,4367.0,6249.0,-1882.0,7.96
146,San Mateo,2001,707965,22892,369868,62288,1736,616370.0,254638.0,-6469.0,7361.0,-13830.0,7.03
147,San Mateo,2002,706213,23003,345137,57250,1552,653250.0,255522.0,-8147.0,5731.0,-13878.0,6.51
148,San Mateo,2003,704014,22721,327080,59615,973,674720.0,256233.0,-7280.0,4471.0,-11751.0,5.73
149,San Mateo,2004,702254,22669,327152,62472,1135,771400.0,256364.0,-7001.0,4396.0,-11397.0,5.74
150,San Mateo,2005,700350,22217,326536,66573,438,903230.0,256668.0,-7491.0,4167.0,-11658.0,5.9
151,San Mateo,2006,699347,23045,334910,67999,414,868000.0,256292.0,-5098.0,4351.0,-9449.0,6.6
152,San Mateo,2007,701838,22849,340640,72300,1350,935000.0,257488.0,-360.0,4971.0,-5331.0,6.49
153,San Mateo,2008,707820,23815,342361,72106,876,800000.0,258006.0,1623.0,4880.0,-3257.0,6.14
154,San Mateo,2009,713818,23623,323195,76502,734,687500.0,258056.0,-280.0,4074.0,-4354.0,5.14
155,San Mateo,2010,718451,23586,317576,74254,477,720500.0,257968.27300000002,-1597.0,3144.0,-4741.0,4.91
156,San Mateo,2011,726305,24240,326055,76248,720,695000.0,258484.313,4115.0,2878.0,1237.0,4.68
157,San Mateo,2012,735256,24242,340075,103243,319,750000.0,259404.5747,7048.0,3016.0,4032.0,3.77
158,San Mateo,2013,745626,24601,356563,103431,1055,925000.0,259724.8677,3950.0,3333.0,617.0,3.98
159,San Mateo,2014,752145,25670,372192,101480,1080,1066000.0,260788.0702,3260.0,3445.0,-185.0,4.28
160,San Mateo,2015,759155,26654,383668,102776,1424,1250000.0,261893.9658,3403.0,4589.0,-1186.0,4.03
161,San Mateo,2016,766041,27224,391640,107469,1153,1300000.0,263255.1269,-570.0,4866.0,-5436.0,3.83
163,Santa Clara,1991,1501771,39938,823193,34416,3262,239610.0,523240.0,-6736.0,13797.0,-20533.0,9.34
164,Santa Clara,1992,1519153,41569,801343,37071,2614,234550.0,527284.0,2269.0,19296.0,-17027.0,8.11
165,Santa Clara,1993,1542054,42923,798033,38131,2757,233610.0,530701.0,4940.0,16675.0,-11735.0,7.13
166,Santa Clara,1994,1558454,43061,811151,39107,2494,254560.0,534178.0,-9099.0,13132.0,-22231.0,7.49
167,Santa Clara,1995,1568225,46295,834956,42892,2253,255260.0,537393.0,-7024.0,9532.0,-16556.0,7.85
168,Santa Clara,1996,1586378,46423,886560,44891,2723,273830.0,540556.0,8286.0,10557.0,-2271.0,7.74
169,Santa Clara,1997,1612739,45610,928587,48774,6343,316250.0,543363.0,9192.0,14248.0,-5056.0,7.68
170,Santa Clara,1998,1638277,50291,961613,51548,6849,364740.0,550370.0,6453.0,9773.0,-3320.0,7.1
171,Santa Clara,1999,1658055,51547,974007,61136,6392,398000.0,557874.0,-2169.0,8384.0,-10553.0,7.25
172,Santa Clara,2000,1676920,48740,1036582,76354,5916,524000.0,564750.0,9531.0,14623.0,-5092.0,7.96
173,Santa Clara,2001,1690366,48894,1002637,65931,6183,525000.0,569982.0,-13027.0,21484.0,-34511.0,7.03
174,Santa Clara,2002,1693230,49615,905489,63056,5980,545000.0,574714.0,-18306.0,14753.0,-33059.0,6.51
175,Santa Clara,2003,1693752,50748,852513,65791,5033,550000.0,579229.0,-17401.0,13786.0,-31187.0,5.73
176,Santa Clara,2004,1695602,51782,845040,70334,6535,627000.0,582811.0,-15577.0,12671.0,-28248.0,5.74
177,Santa Clara,2005,1698234,52209,854927,72693,5302,735000.0,587699.0,-15171.0,11342.0,-26513.0,5.9
178,Santa Clara,2006,1706676,55343,877710,77374,5256,773000.0,591567.0,-3423.0,12051.0,-15474.0,6.6
179,Santa Clara,2007,1725066,56305,896685,82901,5810,836780.0,595393.0,4088.0,14035.0,-9947.0,6.49
180,Santa Clara,2008,1747912,59587,906502,80802,4061,668000.0,599891.0,4769.0,14018.0,-9249.0,6.14
181,Santa Clara,2009,1767204,60035,848938,80326,3056,530000.0,602537.0,-1958.0,11849.0,-13807.0,5.14
182,Santa Clara,2010,1781642,60389,842581,89401,1608,595000.0,604145.655,-2892.0,9809.0,-12701.0,4.91
183,Santa Clara,2011,1803362,62561,866541,94825,3605,570000.0,606612.1751,8917.0,9574.0,-657.0,4.68
184,Santa Clara,2012,1828496,61953,903053,95921,2698,645000.0,610975.2038,12463.0,8227.0,4236.0,3.77
185,Santa Clara,2013,1856194,62755,938114,98576,5245,780000.0,613814.8522,11533.0,7882.0,3651.0,3.98
186,Santa Clara,2014,1879813,65277,973668,105382,7316,860000.0,619089.0526,11891.0,11333.0,558.0,4.28
187,Santa Clara,2015,1903974,67491,1017071,113390,5353,951000.0,627028.7722,12282.0,16630.0,-4348.0,4.03
188,Santa Clara,2016,1927888,69708,1046049,118048,4515,1020500.0,632851.6539,892.0,17634.0,-16742.0,3.83
190,Solano,1991,349396,6758,96970,24309,1709,156953.0,115812.0,9401.0,1290.0,8111.0,9.34
191,Solano,1992,359175,7331,98619,25636,1279,155513.0,117558.0,1200.0,1304.0,-104.0,8.11
192,Solano,1993,364627,7605,98609,25918,1367,151095.0,118995.0,1347.0,1745.0,-398.0,7.13
193,Solano,1994,368030,7336,104365,26839,1199,147787.0,120514.0,-2548.0,1187.0,-3735.0,7.49
194,Solano,1995,368227,7939,101726,25784,1062,142650.0,122112.0,-4575.0,1097.0,-5672.0,7.85
195,Solano,1996,368121,7801,101488,25749,1030,136420.0,123421.0,-2621.0,1370.0,-3991.0,7.74
196,Solano,1997,371380,7598,103369,27114,1585,137520.0,124566.0,2503.0,1313.0,1190.0,7.68
197,Solano,1998,377121,8340,107646,28143,1214,148130.0,126311.0,2624.0,1109.0,1515.0,7.1
198,Solano,1999,384322,8423,112234,29243,1715,159330.0,127749.0,5442.0,968.0,4474.0,7.25
199,Solano,2000,392833,8024,117281,31587,2063,194610.0,129752.0,5338.0,1545.0,3793.0,7.96
200,Solano,2001,399476,8205,121402,33496,2498,237360.0,131247.0,3660.0,2228.0,1432.0,7.03
201,Solano,2002,404895,8544,123484,34005,2477,271620.0,133070.0,561.0,1877.0,-1316.0,6.51
202,Solano,2003,407882,9109,126133,35168,1966,312660.0,134890.0,-1037.0,1723.0,-2760.0,5.73
203,Solano,2004,410164,9412,126294,37118,2990,380900.0,136207.0,-595.0,1858.0,-2453.0,5.74
204,Solano,2005,410985,9461,129185,38431,2871,463030.0,138063.0,-3734.0,1639.0,-5373.0,5.9
205,Solano,2006,410964,9870,130804,40225,1789,476470.0,140039.0,-2268.0,1599.0,-3867.0,6.6
206,Solano,2007,411998,9726,128081,42932,916,430830.0,140478.0,-1836.0,2108.0,-3944.0,6.49
207,Solano,2008,412908,9979,126324,45264,633,276880.0,141094.0,-2468.0,2097.0,-4565.0,6.14
208,Solano,2009,412832,9935,121581,47287,463,205060.0,140908.0,-3558.0,1916.0,-5474.0,5.14
209,Solano,2010,413344,9920,122105,46273,607,211740.0,140690.0,-1678.0,1210.0,-2888.0,4.91
210,Solano,2011,413438,10066,119442,47657,420,191360.0,142936.9434,-203.0,1182.0,-1385.0,4.68
211,Solano,2012,415862,9617,121461,49237,499,199180.0,143836.7129,630.0,1160.0,-530.0,3.77
212,Solano,2013,419057,9779,124953,50453,671,272060.0,144469.3588,1036.0,1126.0,-90.0,3.98
213,Solano,2014,423003,10191,127175,51795,658,320740.0,145236.7865,2515.0,1133.0,1382.0,4.28
214,Solano,2015,426704,10466,130980,53453,935,349000.0,146050.5441,1645.0,1339.0,306.0,4.03
215,Solano,2016,431498,10868,135792,54695,1180,385000.0,147508.9631,2184.0,1420.0,764.0,3.83
217,Sonoma,1991,394070,13539,146822,23419,2827,188540.0,151514.0,6373.0,844.0,5529.0,9.34
218,Sonoma,1992,402835,14389,146291,24353,2524,198890.0,154386.0,5735.0,994.0,4741.0,8.11
219,Sonoma,1993,410785,14795,149546,24634,1717,195730.0,157108.0,5361.0,1295.0,4066.0,7.13
220,Sonoma,1994,416791,14483,150219,25156,2196,193560.0,158920.0,2304.0,1396.0,908.0,7.49
221,Sonoma,1995,421676,15527,153880,26212,1583,195170.0,161267.0,3228.0,1020.0,2208.0,7.85
222,Sonoma,1996,427005,15153,163065,26924,1506,187370.0,163041.0,3534.0,1526.0,2008.0,7.74
223,Sonoma,1997,434133,14563,171128,28759,1461,193730.0,164730.0,7244.0,1486.0,5758.0,7.68
224,Sonoma,1998,442025,15962,178799,30704,1893,222080.0,166366.0,5140.0,1366.0,3774.0,7.1
225,Sonoma,1999,449455,16303,184595,32144,3089,250380.0,168424.0,6162.0,1334.0,4828.0,7.25
226,Sonoma,2000,456899,15404,191453,35803,2883,318190.0,171613.0,6228.0,1759.0,4469.0,7.96
227,Sonoma,2000,456899,15404,191453,35803,2883,318190.0,172403.0,6228.0,1759.0,4469.0,7.96
228,Sonoma,2001,462958,15721,194922,36145,2425,356910.0,173936.0,3236.0,1486.0,1750.0,7.03
229,Sonoma,2002,465726,16451,192994,36494,2451,380270.0,175587.0,-1208.0,1196.0,-2404.0,6.51
230,Sonoma,2003,467139,16806,187399,37218,1965,429030.0,177250.0,258.0,1064.0,-806.0,5.73
231,Sonoma,2004,469103,17067,188506,38512,1776,499080.0,178443.0,-368.0,1152.0,-1520.0,5.74
232,Sonoma,2005,469734,17028,189073,40017,2328,627910.0,179465.0,-2525.0,898.0,-3423.0,5.9
233,Sonoma,2006,469751,17692,191555,41533,2062,622950.0,181043.0,-1575.0,973.0,-2548.0,6.6
234,Sonoma,2007,471479,17766,193598,42824,2807,586570.0,182313.0,923.0,1190.0,-267.0,6.49
235,Sonoma,2008,474819,18547,190574,43757,1577,390160.0,184324.0,1685.0,1505.0,180.0,6.14
236,Sonoma,2009,478622,18460,176992,43274,1749,350080.0,185151.0,1881.0,1116.0,765.0,5.14
237,Sonoma,2010,483878,18424,175508,44192,426,363120.0,185844.0,1645.0,835.0,810.0,4.91
238,Sonoma,2011,485417,18886,177157,45233,525,332160.0,186779.4811,1708.0,728.0,980.0,4.68
239,Sonoma,2012,487487,18206,177222,45086,502,358160.0,187739.1817,1642.0,881.0,761.0,3.77
240,Sonoma,2013,491650,18319,184245,45416,672,442840.0,188276.2128,3616.0,803.0,2813.0,3.98
241,Sonoma,2014,495253,18796,191686,46428,365,490590.0,189043.6477,2568.0,896.0,1672.0,4.28
242,Sonoma,2015,499352,19060,197218,49398,504,529750.0,189418.1818,1915.0,1110.0,805.0,4.03
243,Sonoma,2016,501959,19449,201875,50297,647,580000.0,190284.6094,1185.0,1177.0,8.0,3.83
