Year,County,Income
1992,San Mateo County,"$31,693 "
1993,San Mateo County,"$32,494 "
1994,San Mateo County,"$33,628 "
1995,San Mateo County,"$35,651 "
1996,San Mateo County,"$39,218 "
1997,San Mateo County,"$39,957 "
1998,San Mateo County,"$44,223 "
1999,San Mateo County,"$50,368 "
2000,San Mateo County,"$58,905 "
2001,San Mateo County,"$55,707 "
2002,San Mateo County,"$52,480 "
2003,San Mateo County,"$52,405 "
2004,San Mateo County,"$56,788 "
2005,San Mateo County,"$61,678 "
2006,San Mateo County,"$67,279 "
2007,San Mateo County,"$71,753 "
2008,San Mateo County,"$72,112 "
2009,San Mateo County,"$69,562 "
2010,San Mateo County,"$67,964 "
2011,San Mateo County,"$69,577 "
2012,San Mateo County,"$79,420 "
2013,San Mateo County,"$79,893 "
2014,San Mateo County,"$48,278 "
2015,San Mateo County,"$97,553 "
1990,Santa Clara County,"$26,066 "
1991,Santa Clara County,"$26,699 "
1992,Santa Clara County,"$28,129 "
1993,Santa Clara County,"$28,249 "
1994,Santa Clara County,"$29,255 "
1995,Santa Clara County,"$31,746 "
1996,Santa Clara County,"$33,673 "
1997,Santa Clara County,"$36,645 "
1998,Santa Clara County,"$39,091 "
1999,Santa Clara County,"$43,701 "
2000,Santa Clara County,"$54,198 "
2001,Santa Clara County,"$49,561 "
2002,Santa Clara County,"$46,292 "
2003,Santa Clara County,"$46,769 "
2004,Santa Clara County,"$48,958 "
2005,Santa Clara County,"$52,081 "
2006,Santa Clara County,"$56,472 "
2007,Santa Clara County,"$60,107 "
2008,Santa Clara County,"$59,058 "
2009,Santa Clara County,"$55,781 "
2010,Santa Clara County,"$58,018 "
2011,Santa Clara County,"$61,833 "
2012,Santa Clara County,"$67,974 "
2013,Santa Clara County,"$70,151 "
2014,Santa Clara County,"$43,880 "
2015,Santa Clara County,"$82,756 "
1990,Solano County,"$19,407 "
1991,Solano County,"$19,379 "
1992,Solano County,"$20,136 "
1993,Solano County,"$20,526 "
1994,Solano County,"$20,541 "
1995,Solano County,"$21,104 "
1996,Solano County,"$21,786 "
1997,Solano County,"$23,004 "
1998,Solano County,"$24,198 "
1999,Solano County,"$25,342 "
2000,Solano County,"$27,592 "
2001,Solano County,"$28,773 "
2002,Solano County,"$29,479 "
2003,Solano County,"$30,366 "
2004,Solano County,"$32,020 "
2005,Solano County,"$33,400 "
2006,Solano County,"$35,269 "
2007,Solano County,"$37,055 "
2008,Solano County,"$39,181 "
2009,Solano County,"$38,961 "
2010,Solano County,"$37,935 "
2011,Solano County,"$38,078 "
2012,Solano County,"$41,103 "
2013,Solano County,"$42,509 "
2014,Solano County,"$29,185 "
2015,Solano County,"$44,504 "
1990,Sonoma County,"$22,419 "
1991,Sonoma County,"$22,751 "
1992,Sonoma County,"$23,543 "
1993,Sonoma County,"$24,120 "
1994,Sonoma County,"$24,986 "
1995,Sonoma County,"$25,716 "
1996,Sonoma County,"$27,200 "
1997,Sonoma County,"$29,151 "
1998,Sonoma County,"$30,969 "
1999,Sonoma County,"$32,231 "
2000,Sonoma County,"$36,440 "
2001,Sonoma County,"$36,523 "
2002,Sonoma County,"$36,574 "
2003,Sonoma County,"$37,165 "
2004,Sonoma County,"$38,887 "
2005,Sonoma County,"$40,784 "
2006,Sonoma County,"$44,219 "
2007,Sonoma County,"$46,325 "
2008,Sonoma County,"$47,334 "
2009,Sonoma County,"$44,784 "
2010,Sonoma County,"$44,186 "
2011,Sonoma County,"$45,331 "
2012,Sonoma County,"$48,917 "
2013,Sonoma County,"$50,312 "
2014,Sonoma County,"$34,235 "
2015,Sonoma County,"$53,520 "
